site,time,Abies,Acacia,Acalypha,Acer,Agavaceae,Alnus,Alternanthera,Amaranthaceae,Ambrosia-type,Anacardaceae,Apiaceae,Arceuthobium,Arecaceae undiff.,Artemisia,Asteraceae undiff.,Begonia,Betula,Bignoniaceae undiff.,Brassicaceae,Brosimum (combine with moraceae),Bursera,Buxus,Byrsonima,Caesalpinia,Campanulaceae,Caprifoliaceae sensu lato,Carya,Caryophyllaceae,Casearia,Cassia,Castanea,Ceanothus,Cecropia,Celastra,Celtis,Ceratiola ericoides,Cercocarpus-type,Combretaceae/Melastomataceae undiff.,Connarus,Convolvulaceae undiff.,Corylus,Croton,Cupressaceae undiff.,Cyclachaena xanthiifolia-type,Dodonaea,Ephedra,Ericaceae,Eriogonum,Eugenia,Euphorbiaceae undiff.,Fabaceae,Fagaceae undiff.,Ficus,Fraxinus,Galium,Gentianaceae,Gordonia,Gustavia,Hedyosmum,Hieronyma,Hymenaea,Ilex,Inga,Iresine,Iva,Juglans,Lamiaceae,Leitneria floridana,Liliaceae,Linanthus,Lindernia,Liquidambar,Lysichiton,Machaerium,Magnolia,Malpighiaceae undiff.,Malvaceae,Mandevilla,Melastomataceae undiff.,Meliaceae undiff.,Micranthes,Monardella,Moraceae undiff.,Myrica,Myrsine,Myrtaceae undiff.,Nyssa,Olacaceae undiff.,Onagraceae,Opuntia,Ostrya/Carpinus,Oxalidaceae,Papaver,Paullinia,Pedicularis,Phlox-type,Picea,Pinus undiff,Plantago,Platanus,Poaceae,Polemoniaceae,Polygaceae,Polygonaceae undiff.,Populus,Portulacaceae,Potentilla,Prosopis,Protium,Pseudotsuga,Psychotria,Quercus,Ranunculaceae,Rhamnaceae,Rhododendron subsect. Ledum,Rhus,Ribes,Rosaceae,Rubiaceae,Rumex,Sabal,Salix,Sambucus,Sanguisorba,Sapium,Sarcobatus vermiculatus,Saxifragaceae,Schinus,Serenoa,Shepherdia canadensis,Spermacoce,Spiraea-type,Spondias,Stellaria-type,Symphoricarpos,Taxodium,Taxus brevifolia,Thalictrum,Tilia,Trema,Tsuga heterophylla,Tsuga mertensiana,Ulmus,Verbenaceae,Viburnum,Vitex,Vitis,Yucca,Zanthoxylum
kilbride,45757,0.014925373,0,0,0.014925373,0,0,0,0,0,0,0,0,0,0,0,0,0.054726368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014925373,0,0,0,0,0,0,0,0,0,0,0,0.014925373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024875622,0,0,0,0,0,0.039800995,0.726368159,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064676617,0,0,0,0,0,0,0,0,0,0.009950249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004975124,0,0.004975124,0,0.009950249,0,0,0,0,0,0
kilbride,47852,0.014634146,0,0,0.014634146,0,0,0,0,0,0,0,0,0,0.009756098,0,0,0.058536585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024390244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073170732,0,0,0,0,0,0.043902439,0.595121951,0,0,0.014634146,0,0,0,0,0,0,0,0,0.014634146,0,0.117073171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019512195,0,0,0,0,0,0
kilbride,49943,0,0,0,0.004761905,0,0,0,0.004761905,0.004761905,0,0.004761905,0,0,0,0.00952381,0,0.028571429,0,0,0,0,0,0,0,0,0,0.014285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00952381,0,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0,0,0,0,0,0.004761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0.266666667,0.361904762,0,0,0.019047619,0,0,0,0,0,0,0,0,0.019047619,0,0.119047619,0,0,0,0,0,0,0,0,0,0.004761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0
kilbride,52031,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0.004761905,0.004761905,0,0.038095238,0,0,0,0,0,0,0,0,0,0.004761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004761905,0,0,0,0,0,0,0,0,0,0,0.019047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019047619,0,0,0,0,0,0.39047619,0.276190476,0,0,0,0,0,0,0,0,0,0,0,0.019047619,0,0.128571429,0,0,0,0,0,0,0,0,0,0.00952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00952381,0,0.038095238,0,0,0,0,0,0
kilbride,54126,0.004651163,0,0,0.018604651,0,0.013953488,0,0,0.004651163,0,0,0,0,0.004651163,0.004651163,0,0.079069767,0,0,0,0,0,0,0,0,0,0,0.004651163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027906977,0,0,0,0,0,0,0,0,0,0,0.041860465,0,0,0,0,0,0,0,0,0,0,0,0.009302326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009302326,0,0,0,0,0,0.302325581,0.162790698,0,0,0.03255814,0,0,0,0,0,0,0,0,0.03255814,0,0.195348837,0,0,0,0,0,0,0,0,0,0.009302326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018604651,0,0.023255814,0,0,0,0,0,0
kilbride,55800,0.004504505,0,0,0,0,0.004504505,0,0.004504505,0.009009009,0,0,0,0,0.013513514,0.009009009,0,0.072072072,0,0,0,0,0,0,0,0,0,0.009009009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004504505,0,0,0,0,0,0,0,0,0,0,0.018018018,0,0,0,0,0,0,0,0,0,0,0,0.004504505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013513514,0,0,0,0,0,0.378378378,0.247747748,0,0,0.040540541,0,0,0,0,0,0,0,0,0.013513514,0,0.103603604,0,0,0,0,0,0,0,0,0,0.018018018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009009009,0,0.022522523,0,0,0,0,0,0
kilbride,58311,0,0,0,0,0,0.017777778,0,0,0.004444444,0,0,0,0,0.022222222,0.026666667,0,0.026666667,0,0,0,0,0,0,0,0,0,0.004444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0,0,0,0,0,0,0,0.017777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004444444,0,0,0,0,0,0.715555556,0.044444444,0,0,0.035555556,0,0,0,0,0,0,0,0,0.008888889,0,0.031111111,0,0,0,0,0,0,0,0,0,0.004444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008888889,0,0.004444444,0,0,0,0,0,0
kilbride,60397,0,0,0,0,0,0,0,0,0.027027027,0,0,0,0,0.036036036,0.009009009,0,0.013513514,0,0,0,0,0,0,0,0,0,0.004504505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004504505,0,0,0,0,0,0,0,0,0,0,0.009009009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.752252252,0.072072072,0,0,0.022522523,0,0,0,0,0,0,0,0,0,0,0.045045045,0,0,0,0,0,0,0,0,0,0.004504505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kilbride,62487,0,0,0,0,0,0,0,0,0.008230453,0,0.012345679,0,0,0.053497942,0.065843621,0,0.020576132,0,0,0,0,0,0,0,0,0,0,0.008230453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008230453,0,0,0,0,0,0,0,0,0,0,0.008230453,0,0,0,0,0,0,0,0,0,0,0,0.004115226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020576132,0,0,0,0,0,0.674897119,0.041152263,0,0,0.024691358,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0.004115226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004115226,0,0.004115226,0,0,0,0,0,0
kilbride,64581,0,0,0,0,0,0,0,0,0.03030303,0,0,0,0,0.109848485,0.037878788,0,0.015151515,0,0,0,0,0,0,0,0,0,0.007575758,0.003787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015151515,0,0,0,0,0,0,0,0,0,0,0.007575758,0,0,0,0,0,0,0,0,0,0,0,0.003787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034090909,0,0,0,0,0,0.602272727,0.018939394,0,0,0.056818182,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0.003787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003787879,0,0.007575758,0,0,0,0,0,0
kilbride,66673,0,0,0,0,0,0,0,0,0.004329004,0,0,0,0,0.03030303,0.073593074,0,0.017316017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012987013,0,0,0,0,0,0,0,0,0,0,0.017316017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034632035,0,0,0,0,0,0.649350649,0.060606061,0,0,0.021645022,0,0,0,0,0,0,0,0,0,0,0.060606061,0,0,0,0,0,0,0,0,0,0.004329004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004329004,0,0.008658009,0,0,0,0,0,0
kilbride,68764,0,0,0,0,0,0,0,0.00862069,0.004310345,0,0,0,0,0.060344828,0.030172414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00862069,0,0,0,0,0,0,0,0,0,0,0.00862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021551724,0,0,0,0,0,0.724137931,0.043103448,0,0,0.025862069,0,0,0,0,0,0,0,0,0,0,0.056034483,0,0,0,0,0,0,0,0,0,0.00862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kilbride,70856,0,0,0,0.009259259,0,0,0,0.00462963,0.00462963,0,0,0,0,0,0.027777778,0,0.013888889,0,0,0,0,0,0,0,0,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009259259,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013888889,0,0,0,0,0,0.712962963,0.041666667,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0.069444444,0,0,0,0,0,0,0,0,0,0.009259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013888889,0,0,0,0,0,0
kilbride,72945,0,0,0,0,0,0.010380623,0,0,0.006920415,0,0.006920415,0,0,0.079584775,0.069204152,0,0.010380623,0,0,0,0,0,0,0,0,0,0,0.003460208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034602076,0,0,0,0,0,0,0,0,0,0,0.027681661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027681661,0,0,0,0,0,0.435986159,0.083044983,0,0,0.055363322,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0.083044983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003460208,0,0,0,0.003460208,0,0,0,0,0,0
kilbride,75036,0,0,0,0,0,0.006309148,0,0.003154574,0.012618297,0,0.015772871,0,0,0.104100946,0.05362776,0,0.031545741,0,0,0,0,0,0,0,0,0,0.003154574,0.006309148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059936909,0,0,0,0,0,0,0,0,0,0,0.031545741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028391167,0,0,0,0,0,0.340694006,0.025236593,0,0,0.072555205,0,0,0,0,0,0,0,0,0,0,0.078864353,0,0,0,0,0,0,0,0,0,0.094637224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031545741,0,0,0,0,0,0
kilbride,77128,0,0,0,0.006802721,0,0,0,0,0.010204082,0,0.003401361,0,0,0.12585034,0.054421769,0,0.017006803,0,0,0,0,0,0,0,0,0,0,0.003401361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0,0.037414966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051020408,0,0,0,0,0,0.37755102,0.06462585,0,0,0.081632653,0,0,0,0,0,0,0,0,0,0,0.074829932,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003401361,0,0.017006803,0,0,0,0,0,0
kilbride,79215,0,0,0,0.006557377,0,0,0,0,0.006557377,0,0.003278689,0,0,0.150819672,0.032786885,0,0.02295082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016393443,0,0,0,0,0,0,0,0,0,0,0.032786885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049180328,0,0,0,0,0,0.354098361,0.098360656,0,0,0.06557377,0,0,0,0,0,0,0,0,0,0,0.068852459,0,0,0,0,0,0,0,0,0,0.085245902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006557377,0,0,0,0,0,0
kilbride,81309,0,0,0,0,0,0.003115265,0,0,0.009345794,0,0.012461059,0,0,0.152647975,0.052959502,0,0.040498442,0,0,0,0,0,0,0,0,0,0,0.003115265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034267913,0,0,0,0,0,0,0,0,0,0,0.049844237,0,0,0,0,0,0,0,0,0,0,0,0.00623053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031152648,0,0,0,0,0,0.327102804,0.062305296,0,0,0.062305296,0,0,0,0,0,0,0,0,0,0,0.056074766,0,0,0,0,0,0,0,0,0,0.08411215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003115265,0,0.009345794,0,0,0,0,0,0
kilbride,83401,0,0,0,0,0,0,0,0.002331002,0.018648019,0,0.018648019,0,0,0.219114219,0.074592075,0,0.034965035,0,0,0,0,0,0,0,0,0,0.002331002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048951049,0,0,0,0,0,0,0,0,0.004662005,0,0.062937063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048951049,0,0,0,0,0,0.116550117,0.046620047,0,0,0.107226107,0,0,0,0,0,0,0,0,0,0,0.041958042,0,0,0,0,0,0,0,0,0,0.102564103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048951049,0,0,0,0,0,0
kilbride,84864,0,0,0,0.00257732,0,0.020618557,0,0.005154639,0.007731959,0,0.00257732,0,0,0.144329897,0.087628866,0,0.067010309,0,0,0,0,0,0,0,0,0,0,0.005154639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023195876,0,0,0,0,0,0,0,0,0,0,0.079896907,0,0,0,0,0,0,0,0,0,0,0,0.00257732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041237113,0,0,0,0,0,0.128865979,0.046391753,0,0,0.097938144,0,0,0,0,0,0,0,0,0,0,0.072164948,0,0,0,0,0,0,0,0,0,0.113402062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051546392,0,0,0,0,0,0
